Date,Crude Oil,Brent Crude,Unleaded Gasoline,Heating Oil,Gas Oil,Natural Gas
13/3/03,-0.0554,-0.0443,-0.0504,-0.0720,-0.0467,-0.0772
14/3/03,-0.0385,-0.0543,-0.0228,-0.0203,-0.0647,0.0080
17/3/03,-0.0249,-0.0185,-0.0194,-0.0388,-0.0205,0.0029
18/3/03,-0.0796,-0.0745,-0.0638,-0.0678,-0.0455,-0.0223
19/3/03,-0.0232,-0.0128,-0.0213,-0.0201,-0.0104,-0.0108
20/3/03,-0.0431,-0.0481,-0.0411,-0.0326,-0.0222,0.0015
21/3/03,-0.0440,-0.0412,-0.0589,-0.0710,-0.0965,-0.0236
24/3/03,0.0631,0.0574,0.0513,0.0460,0.0267,0.0250
25/3/03,-0.0244,-0.0453,-0.0165,-0.0442,0.0193,-0.0310
26/3/03,0.0233,0.0095,0.0331,0.0258,-0.0331,0.0059
27/3/03,0.0590,0.0481,0.0576,0.0673,0.0443,0.0179
28/3/03,-0.0069,-0.0068,-0.0148,-0.0264,0.0285,-0.0181
31/3/03,0.0287,0.0269,0.0142,0.0180,-0.0065,-0.0169
1/4/03,-0.0415,-0.0315,-0.0458,-0.0395,-0.0254,0.0128
2/4/03,-0.0418,-0.0420,-0.0566,-0.0306,-0.0539,-0.0118
3/4/03,0.0142,0.0123,0.0089,0.0181,0.0117,-0.0293
4/4/03,-0.0121,-0.0233,-0.0015,-0.0078,-0.0343,0.0049
7/4/03,-0.0338,-0.0034,-0.0346,-0.0183,0.0029,0.0396
8/4/03,-0.0065,0.0072,-0.0061,-0.0023,0.0177,-0.0022
9/4/03,0.0246,0.0312,0.0391,0.0321,0.0092,0.0191
10/4/03,-0.0470,-0.0302,-0.0494,-0.0438,0.0007,0.0459
11/4/03,0.0084,0.0133,0.0159,0.0093,-0.0401,0.0042
14/4/03,-0.0018,-0.0014,-0.0060,0.0058,0.0311,0.0228
15/4/03,0.0172,0.0122,0.0124,0.0210,0.0129,0.0197
16/4/03,0.0000,-0.0033,0.0098,-0.0012,0.0070,0.0037
17/4/03,0.0361,0.0305,0.0318,0.0225,0.0069,0.0048
18/4/03,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
21/4/03,0.0101,0.0000,0.0077,0.0163,0.0000,0.0026
22/4/03,-0.0296,-0.0161,-0.0353,-0.0250,0.0000,-0.0111
23/4/03,-0.0490,-0.0454,-0.0372,-0.0445,-0.0482,-0.0119
24/4/03,-0.0004,0.0053,0.0054,0.0096,-0.0036,-0.0210
25/4/03,-0.0143,-0.0053,0.0000,-0.0176,0.0192,-0.0022
28/4/03,-0.0298,-0.0255,-0.0287,-0.0312,-0.0228,-0.0654
29/4/03,-0.0099,-0.0140,-0.0167,-0.0122,-0.0208,0.0088
30/4/03,0.0220,0.0199,0.0017,0.0214,0.0184,0.0281
1/5/03,0.0089,0.0010,-0.0063,0.0086,0.0121,-0.0221
2/5/03,-0.0139,-0.0154,-0.0288,-0.0172,-0.0305,-0.0023
5/5/03,0.0314,0.0000,0.0311,0.0374,0.0000,0.0794
6/5/03,-0.0295,0.0105,-0.0301,-0.0394,0.0160,-0.0215
7/5/03,0.0188,0.0187,0.0124,0.0176,0.0039,0.0190
8/5/03,0.0256,0.0188,0.0320,0.0286,0.0273,0.0220
9/5/03,0.0220,0.0156,0.0252,0.0134,0.0171,0.0083
12/5/03,-0.0126,-0.0180,-0.0279,-0.0137,0.0099,0.0321
13/5/03,0.0340,0.0316,0.0317,0.0443,-0.0072,0.0575
14/5/03,0.0246,0.0238,0.0246,0.0225,0.0115,-0.0006
